# 示例账本（CSV 格式）
# 原创 CSV 格式
# 格式：日期,类型,金额,分类,描述,账户
# 类型：支出 / 收入

# 账户 微信钱包
# 账户 支付宝
# 账户 银行卡
# 账户 现金

# 初始余额
余额,微信钱包,1000.00
余额,支付宝,0.00
余额,银行卡,5000.00
余额,现金,200.00

# 交易记录
2026-01-01,支出,35.00,餐饮,早餐,微信钱包
2026-01-03,支出,200.00,交通,打车,微信钱包
2026-01-05,支出,28.00,餐饮,午餐,支付宝
2026-01-08,支出,89.00,教育,书籍,银行卡
2026-01-10,收入,15000.00,工资,1月工资,银行卡
2026-01-15,支出,3500.00,居住,房租,银行卡
2026-01-18,支出,75.00,娱乐,电影,支付宝
2026-01-20,支出,50.00,通讯,话费,微信钱包
2026-01-22,支出,150.00,人情,红包,微信钱包
2026-01-25,支出,459.00,购物,衣服,银行卡
2026-01-28,支出,35.00,餐饮,咖啡,微信钱包
