# 小米天气城市代码表（常用城市，xiami weather API locationKey 用）
# 格式: 城市名<TAB>城市代码
# 完整表: https://github.com/huanghui0906/API/blob/master/xiaomi_weather.db
北京	101010100
上海	101020100
天津	101030100
重庆	101040100
哈尔滨	101050101
长春	101060101
沈阳	101070101
呼和浩特	101080101
石家庄	101090101
太原	101100101
西安	101110101
济南	101120101
乌鲁木齐	101130101
拉萨	101140101
西宁	101150101
兰州	101160101
银川	101170101
郑州	101180101
南京	101190101
武汉	101200101
杭州	101210101
合肥	101220101
福州	101230101
南昌	101240101
长沙	101250101
贵阳	101260101
成都	101270101
广州	101280101
昆明	101290101
南宁	101300101
海口	101310101
香港	101320101
澳门	101330101
台北	101340101
深圳	101280601
苏州	101190401
无锡	101190201
宁波	101210401
青岛	101120201
厦门	101230201
珠海	101280701
佛山	101280800
东莞	101281601
中山	101281701
惠州	101280301
泉州	101230501
温州	101210701
大连	101070201
烟台	101120501
威海	101120501
