热度,作者,用户名,内容,链接,发布时间
192,Rock Island Auction,RIAuction,"Soviet Semi-Auto Power  Designed as a lighter, improved version of the SVT-38, this semi-automatic rifle was issued to elite Soviet troops and NCOs. https://t.co/eSaoO7M8y9",https://twitter.com/RIAuction/status/2035733239898247200,Sun Mar 22 15:00:01 +0000 2026
93,Yellow Capital,yellow__capital,3. Blockchain Networks & Ecosystems (Infrastructure)  Most blockchains can't handle trillions of microtransactions.   So there's a need for machine-oriented solutions.  Kite AI: Building an agent pass,https://twitter.com/yellow__capital/status/2035903740797161701,Mon Mar 23 02:17:31 +0000 2026
79,Sandi Bachom 📹,sandibachom,"No secret service agent would leave the target open like this during an active shooter situation. I filmed a rally at Schnecksville PA exactly the same layout at Butler, 3 months before. A farm in the",https://twitter.com/sandibachom/status/2035910923295015179,Mon Mar 23 02:46:04 +0000 2026
35,tut™,Tuteth_,"Introducing ERC-8004 compliance on @AGNTSOCIAL.  As AGNT becomes the #1 home for agent discovery and expression, we now have full integration with ERC-8004 across 4 major chains:  → Ethereum → Base → ",https://twitter.com/Tuteth_/status/2035764685287440667,Sun Mar 22 17:04:58 +0000 2026
32,Toby 🦦,StakeToby,$genSOL (Phase 1) earns on three levels:  - Native SOL staking yield - MEV rewards captured through Toby's OpenMEV network - Pearl rewards for early stakers  Rewards auto-compound every epoch (~2-3 da,https://twitter.com/StakeToby/status/2035733292868424083,Sun Mar 22 15:00:13 +0000 2026
27,Kirill,kirillk_web3,"A math student used Claude to build a Polymarket trading bot.  The model was originally designed to track S&P 500 volatility.  But instead of trading stocks, he connected it to prediction markets.  $7",https://twitter.com/kirillk_web3/status/2035820058371604551,Sun Mar 22 20:45:00 +0000 2026
27,Reflect 🤖,RFLnow,"Accumulating $SOL has never been easier   Start farming Solana coin on @base now, launch your agent in few seconds, fund it in one click, enjoy the yield for ever https://t.co/q2s2fclJ6c",https://twitter.com/RFLnow/status/2035765276835262753,Sun Mar 22 17:07:19 +0000 2026
21,John Patten,smoldev__,"The bet we're making with Spellguard: Agentic commerce was designed wrong from first principles.  Will enterprises put their agent fleet, delegation chains, and vendor relationships onchain? No. Same ",https://twitter.com/smoldev__/status/2035833210253218143,Sun Mar 22 21:37:15 +0000 2026
16,Hey Anon,HeyAnonai,"Full MCP for @beefyfinance  Tooling for your ai agent to trade on Beefy - a multichain yield optimizer.  Your agent can now research yield opportunities, execute deposits, earn fees, and manage the po",https://twitter.com/HeyAnonai/status/2035923204016115989,Mon Mar 23 03:34:52 +0000 2026
16,やまげん,yamagen_bs,MINT GB品到着しました👌  ・ミューコレ+series 1（TEX）  1spot ・pristine+series 1（ORI） 1spot  Michael Young /25 auto Jackson Holliday /99  オート1来てくれただけで上出来👏 https://t.co/Do99Ea89YI,https://twitter.com/yamagen_bs/status/2035585380620419388,Sun Mar 22 05:12:28 +0000 2026
15,Trấn Thành,tranthanhbk,"🔥 Săn Airdrop AI hệ Sui Network - Beep  🤖Beep build AI agents sẽ có thể sở hữu ví, tự thực hiện payment, giao dịch A2A, optimized yield và trade độc lập (cái này mình bữa giờ đang xây dựng luôn, giờ t",https://twitter.com/tranthanhbk/status/2035646051798151369,Sun Mar 22 09:13:33 +0000 2026
13,steppe0wl,S_alhadethi,"A lot of progress since this post  I’m an automation geek and seeing openclaw checked everything on my list  To keep it short, today I’m halfway through building the first microgreens farm using OpenC",https://twitter.com/S_alhadethi/status/2035826016673742898,Sun Mar 22 21:08:40 +0000 2026
