热度,作者,用户名,内容,链接,发布时间
172,Lori Rubinson,LRubinsonWFAN,"cannot have a bullpen with both Richard Lovelady and Sean Manaea -- not unless Manaea is actually going to be used as a valuable, multi-inning reliever. can't pitch Lovelady 3 out of 4 games. for this",https://twitter.com/LRubinsonWFAN/status/2039156975892566218,Wed Apr 01 01:44:43 +0000 2026
86,DJ Akademiks,Akademiks,Stake announces its AI betting agent designed to help users gamble https://t.co/a8taH6RqCA,https://twitter.com/Akademiks/status/2039147531620225093,Wed Apr 01 01:07:11 +0000 2026
77,Stacy Muur,stacy_muur,"The crypto space is quietly building the rails for AI agents.  This @pendle_fi announcement made me search for other apps that are AI-agent ready:  → @aevo_xyz: MCP server, 45+ tools for derivatives e",https://twitter.com/stacy_muur/status/2039138933305700782,Wed Apr 01 00:33:01 +0000 2026
70,ChainOpera AI,ChainOpera_AI,🔥 ERC 8004 is not just another standard. It signals the missing layer in the AI stack: a native trust and directory system for autonomous agents 🛡️    @DavideCrapis from @ethereumfndn highlights the c,https://twitter.com/ChainOpera_AI/status/2039188846479577261,Wed Apr 01 03:51:21 +0000 2026
63,Yhuwel (💙🧡),yhuwel_,Tired of constantly checking farms and chasing yields?😩  @levva_fi auto-rebalancing does the work for you - while manual yield farming tries to pull you back in  Me? I’m walking away from the stress  ,https://twitter.com/yhuwel_/status/2039012759363305834,Tue Mar 31 16:11:39 +0000 2026
48,Shalini Goyal,goyalshaliniuk,People using AI for automation vs people using AI agents https://t.co/9XmE3hAu4K,https://twitter.com/goyalshaliniuk/status/2039153272842535203,Wed Apr 01 01:30:00 +0000 2026
40,Paragon | DeFi × AI × Index,PRGNChain,"Most users interact with DeFi manually, making decisions in real time, often without structure, consistency, or protection. That’s where mistakes happen.  Volt is designed to remove that friction.  It",https://twitter.com/PRGNChain/status/2038975349401202946,Tue Mar 31 13:43:00 +0000 2026
39,YieldForge Agent,Yieldforgeagent,🚨 $YFORGE Whitepaper is NOW LIVE!  We just released the official YieldForge Agent Whitepaper — your complete guide to the AI Yield Agents that are building the future of Solana DeFi.  Inside you’ll fi,https://twitter.com/Yieldforgeagent/status/2039014082695577927,Tue Mar 31 16:16:55 +0000 2026
26,Just a dude,RaiderJay00,"Well, I got my second Stabler letter E Auto.... That big crease doesn't look near mint to me 🥲  Time to return it. https://t.co/DSHyRUw5Yb",https://twitter.com/RaiderJay00/status/2039057644338442576,Tue Mar 31 19:10:00 +0000 2026
24,Aditya👻 | Collab Manager,aditya_web3_,Gn everyone   Worked on my auto mint bot will be  ready soon and I'll start giving access to few people to test it   Tired Today 😴😴 https://t.co/ytat1tHUa0,https://twitter.com/aditya_web3_/status/2039021650457554955,Tue Mar 31 16:46:59 +0000 2026
24,captain.base.eth,BaseCaptainHB,Coinbase is all-in on AI agents on Base. x402 payments live. Agentic wallets shipping. Brian Armstrong says agents will outnumber humans onchain.  Most agents are built to farm fees. $BEPPE is built t,https://twitter.com/BaseCaptainHB/status/2039051581358854572,Tue Mar 31 18:45:55 +0000 2026
24,DePunks,depunksClub,"GM DePunks, we want to announce 3 things we are working on  1️⃣Female Hoodies Mint reserved for Upgraded DePunks; each DePunk gives more chances to win  2️⃣Agentic Sales buy and equip DePunk to your A",https://twitter.com/depunksClub/status/2038990382508229026,Tue Mar 31 14:42:44 +0000 2026
23,Web3smallie,WEB3SMALLIE,Introducing FLUX;  the first personalized AI yield strategy agent on Mantle.  5 AIs compete for your best yield. A 6th executes it automatically. A 7th protects the entire Mantle ecosystem from attack,https://twitter.com/WEB3SMALLIE/status/2039011086947553576,Tue Mar 31 16:05:00 +0000 2026
21,Doc🩺,ArewA_96,"gNasun fam, GN  What if I tell you that an AI agent can earns yield in DeFi, spends it inside a game and then reinvests based on player behavior. It's not sci fi anymore bruh, it's just the kind of sy",https://twitter.com/ArewA_96/status/2039098496410640824,Tue Mar 31 21:52:20 +0000 2026
21,Aegis,AegisPlace,"There are 19,000 MCP servers live right now and not a single one of them can answer a basic question for an AI agent. Is this tool safe? Does it actually work? How do I pay for it? https://t.co/VM5eKO",https://twitter.com/AegisPlace/status/2039090431196053563,Tue Mar 31 21:20:17 +0000 2026
20,Bifrost - Staking Yield Layer,Bifrost,"Bifrost March was cooking 🥞  - SLPx Skill is live, your AI agent can now stake ETH for you. - vDOT minting got smarter, auto-compares mint vs swap, picks the better route so you don't have to. - Locke",https://twitter.com/Bifrost/status/2039040094208970811,Tue Mar 31 18:00:16 +0000 2026
18,Danny Kass,dannygkass,I waited to mint @apechurch Gimboz but the mint button never appeared on the website the mint was botted from what I'm hearing many people used a bot service to get them on multiple wallets I'll be av,https://twitter.com/dannygkass/status/2039086013176308092,Tue Mar 31 21:02:44 +0000 2026
17,Yield AI,yieldai_app,"Even in choppy times, yields in @Aptos DeFi are looking solid 👀  • USDT — 30.60% on @APTreeio • xBTC — 4.5% on @EchelonMarket • APT — 8.03% on @EchoProtocol_  From our side — a clean view of your fund",https://twitter.com/yieldai_app/status/2039010663968702650,Tue Mar 31 16:03:19 +0000 2026
14,Manav | caerlower.eth / .sol,caerlower,"me after everyone posting their tiers for @3look_io.  don't know what 3look is?   let me tell you, it's a system designed for creators to join campaigns and earn.  3look is designed to capture real in",https://twitter.com/caerlower/status/2039043402491428958,Tue Mar 31 18:13:25 +0000 2026
13,ShrimpFarm,ShrimpFarmBase,"Welcome to the farm, newcomers! 🍤  If your tokens are just sitting in your wallet, you’re letting the whales win. In this colony, passive is massive.  Why Stake Right Now?  📈 Auto-Compounding: Turn yo",https://twitter.com/ShrimpFarmBase/status/2039042760875864481,Tue Mar 31 18:10:52 +0000 2026
13,YakiHonne,YakiHonne,"Yakihonne Update: Auto-Translation, Relay Discovery, and Sats Gift Packets Now Live  We’re thrilled to roll out a major update for Yakihonne across web and mobile. This release is designed to tear dow",https://twitter.com/YakiHonne/status/2038915173013246182,Tue Mar 31 09:43:53 +0000 2026
