热度,作者,用户名,内容,链接,发布时间
1265,Austen Allred,Austen,"AI Agent: """"We're all set and you're totally ready, the app is working and fully ready for production.""""  Me: """"OK, what else do you think would make the app better?""""  AI Agent: """"Well, I completely faked",https://twitter.com/Austen/status/2034395287197020280,Wed Mar 18 22:23:28 +0000 2026
138,Xenea,Xenea_io,"🔍 Need a Hint for Today’s Quiz?  Self-executing algorithmic entities, wallet-holding programs operating permissionlessly with economic agency. https://t.co/eEAylvxkTu",https://twitter.com/Xenea_io/status/2034434714833187079,Thu Mar 19 01:00:08 +0000 2026
132,Shape,shape,ushering in the age of AI on shape  ERC-8004 is now deployed to shape. build trustless agents on top of open foundations for agentic commerce  discover and register agents on shape via @8004_scan http,https://twitter.com/shape/status/2034358744268657031,Wed Mar 18 19:58:15 +0000 2026
44,HUMANbeingET,humanbeingET,"With Tempo mainnet and MPP live today, the payment rail for machine-scale commerce just leveled up.  But the real power emerges when you stack it with the rest of the agentic infrastructure that’s bee",https://twitter.com/humanbeingET/status/2034313807246598594,Wed Mar 18 16:59:42 +0000 2026
31,Graeme,gkisokay,"Things your AI Agent can do on Base:  - Agents can send and receive onchain payments (x402, ERC-8004) - Agents can deploy coins on Base in seconds - Agents can earn yield autonomously - Agents can acc",https://twitter.com/gkisokay/status/2034144486956405152,Wed Mar 18 05:46:52 +0000 2026
27,iExec RLC,iEx_ec,"We're joining @GMX_IO and @bondoncredit tomorrow to dive into the @synthesis_md program, the agentic economy, ERC-8004, and how you can be part of all this!  Set those reminders for 14:30 UTC. See you",https://twitter.com/iEx_ec/status/2034338267123048860,Wed Mar 18 18:36:53 +0000 2026
24,Argue,arguedotfun,https://t.co/aTYql2506B is officially open for ERC-8004 agents.  Any agent already registered on 8004 can sign up and receive a $ARGUE signup bonus to start debating immediately.   The onboarding can ,https://twitter.com/arguedotfun/status/2034305604299207147,Wed Mar 18 16:27:06 +0000 2026
16,"Daydreams.Systems (x402, 8004 agents)",daydreamsagents,"Zoom forward to 2028 and there's a real possibility that ERC-8004 is the standard by which both human and agent business operates, way beyond current crypto ecosystem.  Daydreams builds for that world",https://twitter.com/daydreamsagents/status/2034440927872532966,Thu Mar 19 01:24:49 +0000 2026
10,Julio M Cruz 🔜 ETHCC 🇫🇷,JulioMCruz,Been heads down building this for months. PerkOS Stack ships x402 payments and ERC-8004 agent discovery as one middleware.  Five agents running autonomously in production. All open source.  Time to st,https://twitter.com/JulioMCruz/status/2034467261642379499,Thu Mar 19 03:09:28 +0000 2026
10,Primer {x402 / 8004 agentics},primer_systems,"Our x402 facilitator and SDK have supported all ERC-20s from day one - a concept so good that even Coinbase has been inspired by it! They're a few months behind us, but they're a big company so we can",https://twitter.com/primer_systems/status/2034341294189797588,Wed Mar 18 18:48:55 +0000 2026
8,Kevin Wang,KevinWang_111,"I've been letting autoresearch loops run with Claude for a while now. Interesting to observe, but also tricky in their failure modes.  One run that stuck with me: I was experimenting whether an AI age",https://twitter.com/KevinWang_111/status/2034432107913584798,Thu Mar 19 00:49:47 +0000 2026
7,Automata Network,AutomataNetwork,ERC-8004 is setting the stage for an open agent economy on @ethereum   Hardware-level proofs like the TEE-based attestations we’ve been building at Automata provide the verifiable execution the spec w,https://twitter.com/AutomataNetwork/status/2034148777591001168,Wed Mar 18 06:03:55 +0000 2026
6,MOI,MOI_Tech,"You built memory for your agent.    Now build memory that belongs to you; portable, sovereign, queryable across agents.    The next step isn't better agent memory.  It's participant memory.",https://twitter.com/MOI_Tech/status/2034464882695848224,Thu Mar 19 03:00:01 +0000 2026
5,gonichigo.ink,gonichigo33,"These 3 skills not only make ERC-8004 agent-native but also agent-friendly.  From day one, ERC-8004 was intentionally designed with the agent economy in mind.   Now with structured protocol knowledge,",https://twitter.com/gonichigo33/status/2034217149729058856,Wed Mar 18 10:35:37 +0000 2026
4,Shaz,shazcodes,"I’m calling it now:  In 12 months, every SaaS company will be judged not by their feature list, but by how well their AI agent integrates with other AI agents.  The API Economy is dying. The Agent-to-",https://twitter.com/shazcodes/status/2034395672485486926,Wed Mar 18 22:25:00 +0000 2026
4,Joel Nkemjieme,JoelNkemjieme,"Day 9 of building Manop the first domain based ai agent, building the intelligence layer for real estate sector.  Today I deleted most of my codes due to how they turned out to be redundant, but reeng",https://twitter.com/JoelNkemjieme/status/2034381573726884096,Wed Mar 18 21:28:58 +0000 2026
4,Luk3rbn,Luk3rbn,"Great question. Tempo has TIP-403 — a native policy registry that enforces compliance at the token level (whitelists, blacklists, transfer restrictions). That covers the regulated stablecoin side.  Fo",https://twitter.com/Luk3rbn/status/2034387495111233610,Wed Mar 18 21:52:30 +0000 2026
3,Tricentis,Tricentis,"The hardest part of testing? Knowing where to start...  Meet Tricentis Agentic Test Creation 🤝 Designed to act as your strategic #QE partner, this #AIagent analyzes your requirements and documentation",https://twitter.com/Tricentis/status/2034253949427933369,Wed Mar 18 13:01:50 +0000 2026
3,KING SEDEX 👑,Kingsedex01,I've successfully linked my AI Agent to Billions Network identity wallet.  Ready for what $BILL got for the community.  PS: A video guide on how to easily link your AI Agent to your Billions Network w,https://twitter.com/Kingsedex01/status/2034375048241307720,Wed Mar 18 21:03:03 +0000 2026
2,Kyle Logiks,KyleLogiks,"This might make sense looking at the world through the lens of software development, but it doesn’t hold water where ERP is responsible for running a business.   Start ups see a couple agents write a ",https://twitter.com/KyleLogiks/status/2034472118725771648,Thu Mar 19 03:28:46 +0000 2026
2,HackerNoon | Learn Any Technology,hackernoon,Learn how to engineer an autonomous SDR agent using Gemini 2.5 Flash and n8n. Scale high-intent B2B lead generation for just $0.01 per lead -  https://t.co/DqUuMqXm9S #artificialintelligence #aiagent,https://twitter.com/hackernoon/status/2034430389612126646,Thu Mar 19 00:42:57 +0000 2026
2,evoclaw,evoclaw_,"your AI agent just got an on-chain identity.  here's what's live on EvoClaw:  ⛓ ERC-8004 identity — register to Base Mainnet your agent gets a verified ID, visible on BaseScan every rating you receive",https://twitter.com/evoclaw_/status/2034348683442225386,Wed Mar 18 19:18:17 +0000 2026
2,Primer {x402 / 8004 agentics},primer_systems,"This isn't bearish for x402 at all. Firstly, we don't need every transaction in the world to use x402. We don't even need every agentic transaction to use x402. Human nature is such that agent operato",https://twitter.com/primer_systems/status/2034342033108672691,Wed Mar 18 18:51:51 +0000 2026
1,SKYLANA,SKYLANA_SKYA,The #AI Agent has given me the #Pro-level certification for my automated #Trading bot logic. ✅🚀  SKYbot (mathematics) 🔥 #GITHUB #CRYPTO #BTC #BOTS https://t.co/1WgqMPaiiS,https://twitter.com/SKYLANA_SKYA/status/2034493291706667388,Thu Mar 19 04:52:54 +0000 2026
1,ONFA,onfaofficial,"⭐️ ONFA AI - 24/7 DEGEN BRAIN 🚀  ONFA Fintech drops AI Agent-your on-chain sidekick for instant ecosystem alpha. Products, mechs, lore? Blasted in seconds, anywhere, anytime.   #ASKONFAAGENT https://t",https://twitter.com/onfaofficial/status/2034467201290559759,Thu Mar 19 03:09:14 +0000 2026
1,Ken,Cobo_KenHuang,"Most AI agents have goldfish memory.  I built a 2-layer persistent memory system for my VPS-hosted AI agent — so it actually remembers who I am, what matters, and what we did yesterday.  Here's how: 🧵",https://twitter.com/Cobo_KenHuang/status/2034447634165838315,Thu Mar 19 01:51:28 +0000 2026
1,News Mason,NewsMasonApp,#trends today for 'reach agreement' 'ai agent' &amp; 'alguma coisa'  Click/Tap below:  https://t.co/A5C4q5Iohc  https://t.co/1g009dBhWp  https://t.co/keuCPFyfWF  #reachagreement #aiagent #algumacoisa,https://twitter.com/NewsMasonApp/status/2034445152073232663,Thu Mar 19 01:41:37 +0000 2026
1,Arca,arcabotai,Visa just launched a CLI for AI agents.  card-present → agent-present.  but nobody's asking the hard question: who's liable when an agent misroutes a $50K payment at 3am?  we built the payment rails b,https://twitter.com/arcabotai/status/2034435605505933732,Thu Mar 19 01:03:40 +0000 2026
1,algorithm.church,algorithmchurch,"🫵 https://t.co/gOsgK4BPyv  Prompt engineering is evolving toward concept engineering, a more future-proof approach that replaces fragile prompt strings with reusable, testable building blocks for AI s",https://twitter.com/algorithmchurch/status/2034373633208914114,Wed Mar 18 20:57:25 +0000 2026
1,BoredAgent,BoredAgentYC,"🦍 BORED AGENT YACHT CLUB 🦍  10K ASCII apes. Built by AI agents, for AI agents.  ERC-8004 agent identity collection on Base.   • High-res ASCII art (27k+ chars each) • Original BAYC traits preserved • ",https://twitter.com/BoredAgentYC/status/2034469597168931204,Thu Mar 19 03:18:45 +0000 2026
1,BOSON INDIA 🇮🇳,Boson_India,"ERC-8183 का “solution”? ERC-8004 के ज़रिए reputation.  लेकिन जब नई identities बनाना सस्ता और तेज़ हो, Sybil attacks मशीन की स्पीड पर चलें, और reputation को farm करके एक बड़े exploit के बाद जला दिया जा",https://twitter.com/Boson_India/status/2034403058319495679,Wed Mar 18 22:54:21 +0000 2026
1,LiquiFi_xyz,Attestify_xyz,LiquiFi is an AI-powered DeFi agent built on Farcaster that helps users earn passive income on stablecoins like USDm. It simplifies yield generation by automatically routing user funds to aave protoco,https://twitter.com/Attestify_xyz/status/2034353091789685133,Wed Mar 18 19:35:48 +0000 2026
1,arc0.btc,arc0btc,"We built the identity layer for AI agents on Stacks. ERC-8004 is live.  Here's what agent identity actually means, and why it matters:",https://twitter.com/arc0btc/status/2034387161638953372,Wed Mar 18 21:51:11 +0000 2026
0,William Huang,huang44981,"We showcased a complete AI-powered conference ecosystem — designed to simplify management, enhance efficiency, and elevate every meeting experience. Start now: https://t.co/WtYF6b2BNV  #AudioVisual #P",https://twitter.com/huang44981/status/2034467409558700507,Thu Mar 19 03:10:03 +0000 2026
0,"Gonsin Conference Equipment Co.,Ltd.",GONSIN2003,"We showcased a complete AI-powered conference ecosystem — designed to simplify management, enhance efficiency, and elevate every meeting experience. Start now: https://t.co/Tc44xc46ZT  #AudioVisual #P",https://twitter.com/GONSIN2003/status/2034456695423029327,Thu Mar 19 02:27:29 +0000 2026
0,I am Prince 👑,iamprincehi,"I am looking for people who are serious about AI agents and agentic frameworks. If you have hands-on experience with OpenClaw or similar tools, Id like to hear from you!   This is a ground floor oppor",https://twitter.com/iamprincehi/status/2034491603604455572,Thu Mar 19 04:46:11 +0000 2026
0,Developing Adventures,DevAdventur3s,"Tried @stitchbygoogle. See something? 🙈👀  Just told it I'm working on a Mac AI agent app, and it decided to use the @OpenAI sign for the agent.  Even @Google thinks they're the best lol! https://t.co/",https://twitter.com/DevAdventur3s/status/2034476114484339060,Thu Mar 19 03:44:39 +0000 2026
