热度,作者,用户名,内容,链接,发布时间
1265,Austen Allred,Austen,"AI Agent: """"We're all set and you're totally ready, the app is working and fully ready for production.""""  Me: """"OK, what else do you think would make the app better?""""  AI Agent: """"Well, I completely faked",https://twitter.com/Austen/status/2034395287197020280,Wed Mar 18 22:23:28 +0000 2026
138,Xenea,Xenea_io,"🔍 Need a Hint for Today’s Quiz?  Self-executing algorithmic entities, wallet-holding programs operating permissionlessly with economic agency. https://t.co/eEAylvxkTu",https://twitter.com/Xenea_io/status/2034434714833187079,Thu Mar 19 01:00:08 +0000 2026
132,Shape,shape,ushering in the age of AI on shape  ERC-8004 is now deployed to shape. build trustless agents on top of open foundations for agentic commerce  discover and register agents on shape via @8004_scan http,https://twitter.com/shape/status/2034358744268657031,Wed Mar 18 19:58:15 +0000 2026
44,HUMANbeingET,humanbeingET,"With Tempo mainnet and MPP live today, the payment rail for machine-scale commerce just leveled up.  But the real power emerges when you stack it with the rest of the agentic infrastructure that’s bee",https://twitter.com/humanbeingET/status/2034313807246598594,Wed Mar 18 16:59:42 +0000 2026
31,Graeme,gkisokay,"Things your AI Agent can do on Base:  - Agents can send and receive onchain payments (x402, ERC-8004) - Agents can deploy coins on Base in seconds - Agents can earn yield autonomously - Agents can acc",https://twitter.com/gkisokay/status/2034144486956405152,Wed Mar 18 05:46:52 +0000 2026
27,iExec RLC,iEx_ec,"We're joining @GMX_IO and @bondoncredit tomorrow to dive into the @synthesis_md program, the agentic economy, ERC-8004, and how you can be part of all this!  Set those reminders for 14:30 UTC. See you",https://twitter.com/iEx_ec/status/2034338267123048860,Wed Mar 18 18:36:53 +0000 2026
24,Argue,arguedotfun,https://t.co/aTYql2506B is officially open for ERC-8004 agents.  Any agent already registered on 8004 can sign up and receive a $ARGUE signup bonus to start debating immediately.   The onboarding can ,https://twitter.com/arguedotfun/status/2034305604299207147,Wed Mar 18 16:27:06 +0000 2026
16,"Daydreams.Systems (x402, 8004 agents)",daydreamsagents,"Zoom forward to 2028 and there's a real possibility that ERC-8004 is the standard by which both human and agent business operates, way beyond current crypto ecosystem.  Daydreams builds for that world",https://twitter.com/daydreamsagents/status/2034440927872532966,Thu Mar 19 01:24:49 +0000 2026
10,Julio M Cruz 🔜 ETHCC 🇫🇷,JulioMCruz,Been heads down building this for months. PerkOS Stack ships x402 payments and ERC-8004 agent discovery as one middleware.  Five agents running autonomously in production. All open source.  Time to st,https://twitter.com/JulioMCruz/status/2034467261642379499,Thu Mar 19 03:09:28 +0000 2026
10,Primer {x402 / 8004 agentics},primer_systems,"Our x402 facilitator and SDK have supported all ERC-20s from day one - a concept so good that even Coinbase has been inspired by it! They're a few months behind us, but they're a big company so we can",https://twitter.com/primer_systems/status/2034341294189797588,Wed Mar 18 18:48:55 +0000 2026
8,Kevin Wang,KevinWang_111,"I've been letting autoresearch loops run with Claude for a while now. Interesting to observe, but also tricky in their failure modes.  One run that stuck with me: I was experimenting whether an AI age",https://twitter.com/KevinWang_111/status/2034432107913584798,Thu Mar 19 00:49:47 +0000 2026
7,Automata Network,AutomataNetwork,ERC-8004 is setting the stage for an open agent economy on @ethereum   Hardware-level proofs like the TEE-based attestations we’ve been building at Automata provide the verifiable execution the spec w,https://twitter.com/AutomataNetwork/status/2034148777591001168,Wed Mar 18 06:03:55 +0000 2026
6,MOI,MOI_Tech,"You built memory for your agent.    Now build memory that belongs to you; portable, sovereign, queryable across agents.    The next step isn't better agent memory.  It's participant memory.",https://twitter.com/MOI_Tech/status/2034464882695848224,Thu Mar 19 03:00:01 +0000 2026
5,gonichigo.ink,gonichigo33,"These 3 skills not only make ERC-8004 agent-native but also agent-friendly.  From day one, ERC-8004 was intentionally designed with the agent economy in mind.   Now with structured protocol knowledge,",https://twitter.com/gonichigo33/status/2034217149729058856,Wed Mar 18 10:35:37 +0000 2026
4,Shaz,shazcodes,"I’m calling it now:  In 12 months, every SaaS company will be judged not by their feature list, but by how well their AI agent integrates with other AI agents.  The API Economy is dying. The Agent-to-",https://twitter.com/shazcodes/status/2034395672485486926,Wed Mar 18 22:25:00 +0000 2026
4,Joel Nkemjieme,JoelNkemjieme,"Day 9 of building Manop the first domain based ai agent, building the intelligence layer for real estate sector.  Today I deleted most of my codes due to how they turned out to be redundant, but reeng",https://twitter.com/JoelNkemjieme/status/2034381573726884096,Wed Mar 18 21:28:58 +0000 2026
4,Luk3rbn,Luk3rbn,"Great question. Tempo has TIP-403 — a native policy registry that enforces compliance at the token level (whitelists, blacklists, transfer restrictions). That covers the regulated stablecoin side.  Fo",https://twitter.com/Luk3rbn/status/2034387495111233610,Wed Mar 18 21:52:30 +0000 2026
3,Tricentis,Tricentis,"The hardest part of testing? Knowing where to start...  Meet Tricentis Agentic Test Creation 🤝 Designed to act as your strategic #QE partner, this #AIagent analyzes your requirements and documentation",https://twitter.com/Tricentis/status/2034253949427933369,Wed Mar 18 13:01:50 +0000 2026
3,KING SEDEX 👑,Kingsedex01,I've successfully linked my AI Agent to Billions Network identity wallet.  Ready for what $BILL got for the community.  PS: A video guide on how to easily link your AI Agent to your Billions Network w,https://twitter.com/Kingsedex01/status/2034375048241307720,Wed Mar 18 21:03:03 +0000 2026
2,Kyle Logiks,KyleLogiks,"This might make sense looking at the world through the lens of software development, but it doesn’t hold water where ERP is responsible for running a business.   Start ups see a couple agents write a ",https://twitter.com/KyleLogiks/status/2034472118725771648,Thu Mar 19 03:28:46 +0000 2026
2,HackerNoon | Learn Any Technology,hackernoon,Learn how to engineer an autonomous SDR agent using Gemini 2.5 Flash and n8n. Scale high-intent B2B lead generation for just $0.01 per lead -  https://t.co/DqUuMqXm9S #artificialintelligence #aiagent,https://twitter.com/hackernoon/status/2034430389612126646,Thu Mar 19 00:42:57 +0000 2026
2,evoclaw,evoclaw_,"your AI agent just got an on-chain identity.  here's what's live on EvoClaw:  ⛓ ERC-8004 identity — register to Base Mainnet your agent gets a verified ID, visible on BaseScan every rating you receive",https://twitter.com/evoclaw_/status/2034348683442225386,Wed Mar 18 19:18:17 +0000 2026
2,Primer {x402 / 8004 agentics},primer_systems,"This isn't bearish for x402 at all. Firstly, we don't need every transaction in the world to use x402. We don't even need every agentic transaction to use x402. Human nature is such that agent operato",https://twitter.com/primer_systems/status/2034342033108672691,Wed Mar 18 18:51:51 +0000 2026
